"tag.x","tree_id.x","stand_id.x","plot.x","stand_idplot.x","species.x","year.x","year_count.x","tree_status.x","dbh.x","AreaCookie.x","size_cat.x","tree_id.y","stand_id.y","plot.y","stand_idplot.y","tag.y","species.y","year.y","year_count.y","tree_status.y","dbh.y","AreaCookie.y","size_cat.y","Stand","Subplot..e.g...25.25..","Camera.number","Lat","Long","Notes","geometry"
4393,"TO04000200006","TO04",2,"TO042","ABAM",2012,35,"1","32,4","824,479576","regular","TO04000200027","TO04",2,"TO042",2225,"ABAM",2017,40,"2","16,1","203,5830579","regular","TO04","25,75",5,"46,74098","121,88853",NA,c(8.69, 69.37)
4407,"TO04000200020","TO04",2,"TO042","TSHE",2012,35,"1","39,6","1231,629984","regular","TO04000200020","TO04",2,"TO042",4407,"TSHE",2012,35,"1","39,6","1231,629984","regular","TO04","25,75",4,"46,74046","121,88864",NA,c(2.4, 51.48)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300016","AV06",3,"AV063",5314,"ABAM",2012,35,"1","17,9","251,6494255","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300021","AV06",3,"AV063",5319,"ABAM",2012,35,"1","18,8","277,5911269","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300022","AV06",3,"AV063",5320,"ABAM",1993,16,"6","16,4","211,24069","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300023","AV06",3,"AV063",5321,"ABAM",1993,16,"6","15,8","196,0667975","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300024","AV06",3,"AV063",5322,"TSHE",2007,30,"6","20","314,1592654","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300025","AV06",3,"AV063",5323,"TSHE",2012,35,"1","19","283,528737","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300026","AV06",3,"AV063",5324,"TSHE",2012,35,"1","36,1","1023,538741","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300027","AV06",3,"AV063",5325,"TSHE",2012,35,"6","16,5","213,82465","regular","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300031","AV06",3,"AV063",5329,"ABAM",2007,30,"6","10,5","86,59014751","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300044","AV06",3,"AV063",5345,"ABAM",2012,35,"1","8,2","52,81017251","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300045","AV06",3,"AV063",5346,"ABAM",2012,35,"1","11,2","98,52034562","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300046","AV06",3,"AV063",5347,"TSHE",2012,35,"1","11,1","96,76890771","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300079","AV06",3,"AV063",5410,"ABAM",1993,16,"6","7,7","46,56625711","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300098","AV06",3,"AV063",354,"ABAM",2012,35,"1","8,9","62,21138852","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5323,"AV06000300025","AV06",3,"AV063","TSHE",2012,35,"1","19","283,528737","regular","AV06000300099","AV06",3,"AV063",355,"TSHE",2007,30,"6","7,9","49,01669938","small","AV06","25,75",16,"46,77644","121,78392",NA,c(35.25, 86.42)
5353,"AV06000300052","AV06",3,"AV063","TSHE",2012,35,"1","21","346,3605901","regular","AV06000100022","AV06",1,"AV061",5272,"TSHE",1998,21,"6","36,1","1023,538741","regular","AV06","25,75",17,"46,77641","121,78405",NA,c(25.58, 80.59)
5353,"AV06000300052","AV06",3,"AV063","TSHE",2012,35,"1","21","346,3605901","regular","AV06000100037","AV06",1,"AV061",1038,"ABAM",2012,35,"2","17,2","232,3521927","regular","AV06","25,75",17,"46,77641","121,78405",NA,c(25.58, 80.59)
