tree_id;stand_id;plot;stand_idplot;tag;species;year;year_count;tree_status;dbh;x_coord;AreaCookie;y_coord;size_cat
AB08000400009;AB08;4;AB084;4067;TSHE;2012;35;1;62,9;31,1;3107,357148;53,6;regular
AB08000400010;AB08;4;AB084;4068;TSHE;1995;18;6;57,7;46,07;2614,818251;56,44;regular
AB08000400011;AB08;4;AB084;4069;TSHE;2012;35;1;43,1;47,1;1458,963482;57,27;regular
AB08000400012;AB08;4;AB084;8484;TSHE;2002;25;6;15,4;51,78;186,2650284;64,99;regular
AB08000400013;AB08;4;AB084;38;THPL;2012;35;1;20,2;31,34;320,4738666;66,76;regular
AB08000400014;AB08;4;AB084;283;THPL;2012;35;2;15,3;32,01;183,8538561;66,77;regular
AB08000400015;AB08;4;AB084;346;THPL;2017;40;2;15,1;36,11954;179,0786352;54,28261108;regular
AB08000400016;AB08;4;AB084;347;THPL;2017;40;2;19;37,2796942;283,528737;55,36427112;regular
AB08000500001;AB08;5;AB085;4070;TSHE;2012;35;1;43,3;54,19;1472,535163;95,61;regular
AB08000500002;AB08;5;AB085;4071;PSME;2012;35;1;80,2;62,91;5051,712403;97,91;regular
AB08000500003;AB08;5;AB085;4072;TSHE;2012;35;1;20,8;59,6;339,7946614;96,38;regular
AB08000500004;AB08;5;AB085;4073;TSHE;2012;35;1;96,1;62,04;7253,316973;95,84;regular
AB08000500005;AB08;5;AB085;4074;TSHE;2012;35;1;67,1;73,11;3536,184545;99,17;regular
AB08000500006;AB08;5;AB085;4075;TSHE;2012;35;1;15,5;71,93;188,6919088;99,28;regular
AB08000500007;AB08;5;AB085;4076;TSHE;2012;35;1;50,1;68,57;1971,357244;95,39;regular
AB08000500008;AB08;5;AB085;4077;THPL;2012;35;1;97,2;70,52;7420,316184;90,6;regular
AB08000500009;AB08;5;AB085;4079;TSHE;2012;35;1;75,8;57,82;4512,615104;92,06;regular
AB08000500010;AB08;5;AB085;4080;TSHE;2012;35;1;75,5;55,58;4476,965881;86,78;regular
AB08000500011;AB08;5;AB085;4081;TSHE;2012;35;1;53,2;51,06;2222,865298;83,29;regular
AB08000500012;AB08;5;AB085;4082;TSHE;2012;35;1;60,4;56,48;2865,258164;81,25;regular
AB08000500013;AB08;5;AB085;4083;PSME;2012;35;1;68,2;62,03;3653,075354;79,79;regular
AB08000500014;AB08;5;AB085;4084;PSME;2012;35;1;118,3;66,73;10991,5609;79,1;regular
AB08000500015;AB08;5;AB085;4085;TSHE;2012;35;1;60,5;68,25;2874,753628;84,02;regular
AB08000500016;AB08;5;AB085;4086;TSHE;2012;35;1;24,5;70,7;471,4352476;78,41;regular
AB08000500017;AB08;5;AB085;4087;THPL;2012;35;1;87,6;74,14;6026,95701;76,63;regular
AB08000500018;AB08;5;AB085;4114;TSHE;2012;35;1;36,1;73,3;1023,538741;83,26;regular
AB08000500019;AB08;5;AB085;4542;TSHE;2012;35;1;64;56,25;3216,990877;78,02;regular
AB08000500020;AB08;5;AB085;4543;TSHE;2012;35;1;68;61,16;3631,681108;76,89;regular
AB08000500021;AB08;5;AB085;8430;TSHE;2012;35;1;15,3;62,18;183,8538561;91,94;regular
AB08000600001;AB08;6;AB086;4088;THPL;2012;35;1;93;74,1;6792,908715;72,89;regular
AB08000600002;AB08;6;AB086;4089;TSHE;2012;35;1;10,9;74,16;93,31315579;70,76;small
AB08000600003;AB08;6;AB086;4090;THPL;2008;31;6;47,1;72,94;1742,33514;70,57;regular
AB08000600004;AB08;6;AB086;4091;ABAM;2008;31;6;9,4;72,09;69,39778172;71,38;small
AB08000600005;AB08;6;AB086;4092;TSHE;2012;35;1;22,7;66,59;404,7078196;71,06;regular
AB08000600006;AB08;6;AB086;4093;TSHE;2012;35;1;104,6;66,89;8593,166969;72,42;regular
AB08000600007;AB08;6;AB086;4094;TSHE;2012;35;6;12,2;61,78;116,8986626;70,13;small
AB08000600008;AB08;6;AB086;4095;TSHE;2012;35;1;38,7;57,48;1176,282975;68,32;regular
AB08000600009;AB08;6;AB086;4096;TSHE;2012;35;1;36,4;55,92;1040,621151;68,8;regular
AB08000600010;AB08;6;AB086;4097;TSHE;2012;35;1;57,3;54,12;2578,689936;67,17;regular
AB08000600011;AB08;6;AB086;4098;TSHE;2012;35;1;12,8;52,27;128,6796351;70,46;small
AB08000600012;AB08;6;AB086;4099;TSHE;2012;35;1;64,3;52,69;3247,220853;65,32;regular
AB08000600013;AB08;6;AB086;4100;TSHE;2012;35;1;24,9;58,36;486,9547153;60,62;regular
AB08000600014;AB08;6;AB086;4101;TSHE;2012;35;1;19,7;60,68;304,8051732;63,2;regular
